201906,345,00:04:31
201906,49,00:04:13
201906,49,00:04:13
201907,349,00:04:37
201907,51,00:04:35
201907,51,00:04:35
201908,396,00:04:37
201908,56,00:04:30
201908,55,00:04:31
201909,345,00:04:39
201909,48,00:04:13
201909,47,00:04:06
201910,389,00:04:38
201910,55,00:04:36
201910,54,00:04:37
201911,349,00:04:47
201911,45,00:04:11
201911,45,00:04:11
201912,294,00:04:34
201912,36,00:03:53
201912,35,00:03:53
202001,279,00:04:26
202001,38,00:04:11
202001,38,00:04:11
202002,298,00:04:24
202002,45,00:04:18
202002,44,00:04:17
202003,325,00:04:20
202003,44,00:03:43
202003,44,00:03:43
202004,245,00:04:00
202004,41,00:03:46
202004,41,00:03:46
202005,320,00:04:18
202005,51,00:04:16
202005,50,00:04:14
202006,306,00:04:29
202006,46,00:03:58
202006,46,00:03:58
202007,296,00:04:29
202007,43,00:04:14
202007,43,00:04:14
202008,350,00:04:39
202008,35,00:04:17
202008,35,00:04:17
202009,309,00:04:35
202009,42,00:04:17
202009,42,00:04:17
202010,322,00:04:27
202010,43,00:04:09
202010,43,00:04:09
202011,339,00:04:22
202011,57,00:04:09
202011,57,00:04:09
202012,303,00:04:24
202012,38,00:04:11
202012,38,00:04:11
202101,274,00:04:13
202101,40,00:03:58
202101,39,00:03:59
202102,284,00:04:26
202102,36,00:04:01
202102,35,00:03:59
202103,295,00:04:24
202103,60,00:04:24
202103,59,00:04:25
202104,317,00:04:31
202104,42,00:04:25
202104,42,00:04:25
202105,335,00:04:41
202105,49,00:04:08
202105,49,00:04:08
202106,361,00:04:59
202106,49,00:04:48
202106,48,00:04:45
202107,397,00:04:39
202107,58,00:04:26
202107,58,00:04:26
202108,386,00:04:18
202108,54,00:04:17
202108,54,00:04:17
202109,389,00:04:31
202109,51,00:04:20
202109,50,00:04:18
202110,376,00:04:44
202110,43,00:04:23
202110,43,00:04:23
202111,403,00:04:31
202111,65,00:04:34
202111,65,00:04:34
202112,378,00:04:30
202112,81,00:04:24
202112,80,00:04:22
202201,361,00:04:23
202201,52,00:04:01
202201,52,00:04:01
202202,388,00:04:23
202202,44,00:03:55
202202,44,00:03:55
202203,387,00:04:42
202203,60,00:04:26
202203,60,00:04:26
202204,371,00:04:28
202204,53,00:04:30
202204,52,00:04:30
202205,383,00:04:28
202205,61,00:04:28
202205,61,00:04:28
202206,382,00:04:45
202206,62,00:03:56
202206,62,00:03:56
202207,449,00:05:02
202207,67,00:04:18
202207,66,00:04:19
202208,454,00:04:37
202208,89,00:04:09
202208,88,00:04:10
202209,374,00:04:27
202209,55,00:03:49
202209,55,00:03:49
202210,433,00:04:43
202210,60,00:05:04
202210,60,00:05:04
202211,423,00:04:50
202211,72,00:04:46
202211,71,00:04:46
202212,503,00:04:35
202212,75,00:04:18
202212,73,00:04:19
202301,383,00:04:32
202301,52,00:04:01
202301,52,00:04:01
202302,390,00:04:40
202302,46,00:03:57
202302,45,00:03:57
202303,406,00:04:32
202303,71,00:04:13
202303,68,00:04:09
202304,370,00:04:31
202304,57,00:04:04
202304,57,00:04:04
202305,384,00:04:27
202305,54,00:04:16
202305,54,00:04:16
202306,436,00:04:41
202306,74,00:04:36
202306,74,00:04:36
202307,449,00:04:41
202307,74,00:04:13
202307,73,00:04:11
202308,420,00:04:47
202308,61,00:04:28
202308,60,00:04:29
202309,521,00:05:01
202309,84,00:04:21
202309,83,00:04:21
202310,511,00:04:41
202310,98,00:04:38
202310,98,00:04:38
202311,535,00:04:42
202311,109,00:04:29
202311,108,00:04:30
202312,496,00:04:53
202312,92,00:04:47
202312,91,00:04:48
202401,463,00:04:51
202401,82,00:04:24
202401,80,00:04:21
202402,441,00:04:44
202402,71,00:04:18
202402,71,00:04:18
202403,401,00:04:36
202403,66,00:04:07
202403,66,00:04:07
202404,399,00:04:28
202404,82,00:03:58
202404,82,00:03:58
202405,494,00:04:44
202405,78,00:04:39
202405,78,00:04:39
202406,313,00:04:48
202406,50,00:04:52
202406,50,00:04:52
