,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,
,For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.londonair.org.uk,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Average,Annualised & Bias Adjusted Average,,,,,,
1,Colombia Rd/Gossett Street,533883,182815,Roadside,28.0,Missing,30.1,34.0,39.4,38.3,46.4,33.5,35.67,38.46,,,Meeting annual Air Quality Objective,,,
2,Calvert Ave/Boundary Street,533507,182569,Roadside,37.8,31.4,39.0,37.8,35.0,41.6,47.6,40.2,38.80,42.10,,,Exceeding annual Air Quality Objective,,,
3,Bethnal Grn Rd/ Brick Lane,533860,182442,Roadside,44.4,44.2,48.2,45.2,38.8,44.6,49.1,32.0,43.30,46.98,,,,,,
4,Commercial St/Calvin St,533583,182066,Roadside,Missing,63.5,51.0,Missing,68.5,81.5,62.0,53.2,63.31,66.22,,,,,,
5,Whitechapel High St (KFC),533985,181426,Roadside,63.8,63.4,75.1,61.9,69.3,57.0,83.0,59.1,66.58,72.24,,,,,,
6,Mansell St,533801,180726,Roadside,Missing,77.0,74.4,70.1,77.9,82.7,86.3,76.7,77.87,83.79,,,,,,
7,St Katherine's Way,533984,180373,Background,31.9,27.6,25.3,25.7,34.7,36.3,39.5,26.9,30.99,33.62,,,,,,
8,Wapping High St/Sampson St,534444,180122,Roadside,29.9,27.7,28.7,28.4,35.7,42.0,36.3,29.1,32.21,34.95,,,,,,
11,Brick Lane/Princelet St,533866,181860,Roadside,Missing,33.6,35.4,36.3,46.5,47.4,38.9,38.1,39.47,42.47,,,,,,
12,Buckfast St/Bethnal Green Rd,534259,182580,Roadside,35.3,38.0,34.8,34.9,45.0,41.6,47.2,35.9,39.11,42.43,,,,,,
14,Warner Place/Hackney Rd,534255,183130,Roadside,35.0,36.0,Missing,35.2,44.4,40.5,44.8,41.6,39.64,42.01,,,,,,
16,Paradise Row/Bethnal Green Rd,534959,182757,Roadside,35.7,43.1,40.8,46.3,42.4,49.5,57.5,Missing,45.04,49.64,,,,,,
17,Finnis St/Three Colts Lane,534783,182385,Roadside,27.0,24.9,27.8,28.9,35.3,41.2,39.7,Missing,32.12,35.40,,,,,,
18,Sidney St/Mile End Rd,534968,181878,Roadside,Missing,33.8,43.0,42.3,42.1,50.0,55.3,42.4,44.14,47.49,,,,,,
19,Philpot St/Commercial Road,534816,181321,Roadside,47.953,35.5,51.6,41.2,54.7,62.6,60.0,46.7,50.04,54.29,,,,,,
20,Dellow St/The Highway,534951,180779,Roadside,68.7,58.6,65.6,57.0,57.4,53.6,76.9,70.2,63.52,68.91,,,,,,
22,Wapping Wall/Garnet St,535132,180337,Roadside,31.7,27.3,26.9,28.0,39.8,Missing,33.6,29.1,30.90,33.74,,,,,,
23,Brodlove Lane,535598,180816,Roadside,43.0,42.7,43.8,39.3,45.5,43.8,49.1,39.8,43.37,47.06,,,,,,
24,Jubilee Street/Commercial Rd,535150,181279,Roadside,51.0,Missing,Missing,53.0,66.5,76.3,Missing,Missing,61.70,68.24,,,,,,
25,Cavell St/Stepney Way,534884,181667,Roadside,36.7,39.9,32.3,36.1,38.2,46.0,55.5,46.1,41.35,44.86,,,,,,
26,Hannibal Rd/Mile End Rd,535392,182010,Roadside,59.0,43.5,69.3,33.3,Missing,Missing,108.2,Missing,62.66,71.56,,,,,,
28,Bonner Road,535356,183223,Roadside,Missing,32.9,35.8,33.4,41.6,45.6,37.1,29.7,36.57,39.34,,,,,,
29,Grove Rd/Old Ford Rd,535930,183385,Roadside,34.8,37.1,38.0,40.8,46.2,50.7,54.4,45.0,43.36,47.05,,,,,,
30,Fieldgate Street,534232,181584,Roadside,49.5,56.9,44.4,Missing,56.0,53.0,44.7,44.0,49.79,52.78,,,,,,
31,Whitechapel Market,534516,181744,Roadside,57.4,58.6,49.0,68.8,Missing,Missing,79.5,69.4,63.79,70.94,,,,,,
32,Globe Rd/Mile End Rd,535295,182820,Roadside,51.7,47.6,Missing,39.5,56.8,61.2,55.1,53.4,52.20,55.33,,,,,,
33,Stepney Green,535545,181604,Background,23.2,Missing,Missing,Missing,33.6,38.4,41.2,29.3,33.15,33.94,,,,,,
36,Locksley St/St Paul's Way,536702,181646,Roadside,26.2,15.6,18.6,33.1,44.5,Missing,Missing,28.2,27.69,30.85,,,,,,
37,Rhodeswell Rd,536574,181338,Roadside,25.8,25.1,22.8,35.8,37.3,45.1,34.9,32.2,32.37,35.12,,,,,,
38,Ben Johnson Road,536080,181721,Roadside,32.2,Missing,32.4,38.2,Missing,Missing,48.5,34.1,37.10,41.11,,,,,,
39,Harford St/Mile End Rd,536089,182258,Roadside,32.4,30.9,30.7,41.5,52.1,51.6,43.1,32.9,39.38,42.73,,,,,,
41,Ford Close/Roman Rd,536457,183301,Roadside,32.9,34.1,30.7,31.5,49.8,54.0,40.1,29.0,37.77,40.98,,,,,,
42,Victoria Park,536494,184170,Background,15.2,Missing,14.9,22.0,23.7,27.2,Missing,Missing,20.57,23.10,,,,,,
